SensorID,NodeID,Latitude,Longitude,TransformedX,TransformedY,Distance
209,492500452,40.765724,-111.945677,-1.444482239869186E7,3989939.2532278392,129620.2396131917
6319,492500452,40.733376,-111.493469,-1.4397011047967415E7,3989844.973493255,167875.4605873304
64012,492500452,40.082812,-111.704648,-1.4415881669918891E7,3930539.077248001,172195.72308438944
5000,1897559077,38.130546,-112.627593,-1.4502693555979894E7,3747433.0291457786,62914.34777564894
5001,1897559077,38.130368,-112.627275,-1.450265912283664E7,3747418.5903338823,62947.94269564431
64013,492500452,40.082951,-111.704852,-1.4415903883458193E7,3930550.280590877,172172.99018460585
5486,492500452,40.323323,-111.903334,-1.4438064788958466E7,3950831.373106386,145074.56384322257
5003,1897559077,38.149821,-112.610642,-1.450101348707221E7,3749313.480579287,63395.65032800549
5487,492500452,40.323375,-111.903214,-1.4438052418689117E7,3950836.753213166,145081.55959250286
5004,1897559077,38.174926,-112.625583,-1.4502721715051332E7,3751533.512715986,61142.07259278533
691,492500452,40.732356,-111.755508,-1.44246138469717E7,3988147.3398438822,145884.0468605637
692,492500452,40.728514,-111.765436,-1.4425639976701811E7,3987745.4564145827,145089.71302472326
694,492500452,40.724314,-111.772839,-1.4426398221903838E7,3987327.2807599707,144512.63480230255
76000,492500452,40.405193,-111.604775,-1.4407038947742768E7,3959969.160347534,165595.52904711405
695,492500452,40.720747,-111.777837,-1.4426906351906044E7,3986980.02580208,144132.08029290903
